Time,Open,High,Low,Last,Change,Volume
01/04/2019,144.53,148.55,143.8,148.26,6.07,58607000
01/03/2019,143.98,145.72,142,142.19,-15.73,91312200
01/02/2019,154.89,158.85,154.23,157.92,0.17999999999998,37039700
12/31/2018,158.53,159.36,156.48,157.74,1.51,35003400
12/28/2018,157.5,158.52,154.55,156.23,0.079999999999984,42291400
12/27/2018,155.84,156.77,150.07,156.15,-1.02,53117000
12/26/2018,148.3,157.23,146.72,157.17,10.34,58582500
12/24/2018,148.15,151.55,146.59,146.83,-3.9,37169200
12/21/2018,156.86,158.16,149.63,150.73,-6.1,95744304
12/20/2018,160.4,162.11,155.3,156.83,-4.06,64772900
12/19/2018,166,167.45,159.09,160.89,-5.18,49047200
12/18/2018,165.38,167.53,164.39,166.07,2.13,33841500
12/17/2018,165.45,168.35,162.73,163.94,-1.54,44287900
12/14/2018,169,169.08,165.28,165.48,-5.47,40703700
12/13/2018,170.49,172.57,169.55,170.95,1.85,31897800
12/12/2018,170.4,171.92,169.02,169.1,0.47,35627600
12/11/2018,171.66,171.79,167,168.63,-0.97,47281600
12/10/2018,165,170.09,163.33,169.6,1.11,62025900
12/07/2018,173.49,174.49,168.3,168.49,-6.23,42281600
12/06/2018,171.76,174.78,170.42,174.72,-1.97,43098400
12/04/2018,180.95,182.39,176.27,176.69,-8.13,41344200
12/03/2018,184.46,184.94,181.21,184.82,6.24,40798000
11/30/2018,180.29,180.33,177.03,178.58,-0.97,39531500
11/29/2018,182.66,182.8,177.7,179.55,-1.39,41769900
11/28/2018,176.73,181.29,174.93,180.94,6.7,46062500
11/27/2018,171.51,174.77,170.88,174.24,-0.38,41387300
11/26/2018,174.24,174.95,170.26,174.62,2.33,44998500
11/23/2018,174.94,176.595,172.1,172.29,-4.49,23623900
11/21/2018,179.73,180.27,176.55,176.78,-0.19999999999999,31124200
11/20/2018,178.37,181.47,175.51,176.98,-8.88,67825200
11/19/2018,190,190.7,184.99,185.86,-7.67,41920800
11/16/2018,190.5,194.97,189.46,193.53,2.12,36928200
11/15/2018,188.39,191.97,186.9,191.41,4.61,46478800
11/14/2018,193.9,194.48,185.93,186.8,-5.43,60800900
11/13/2018,191.63,197.18,191.45,192.23,-1.94,46882900
11/12/2018,199,199.85,193.79,194.17,-10.3,51135500
11/09/2018,205.55,206.01,202.25,204.47,-4.02,34365700
11/08/2018,209.98,210.12,206.75,208.49,-1.46,25362600
11/07/2018,205.97,210.06,204.13,209.95,6.18,33424400
11/06/2018,201.92,204.72,201.69,203.77,2.18,31886000
11/05/2018,204.3,204.39,198.17,201.59,-5.89,66163600
11/02/2018,209.55,213.65,205.43,207.48,-14.74,91328600
11/01/2018,219.05,222.36,216.81,222.22,3.36,58323100
10/31/2018,216.88,220.45,216.62,218.86,5.56,38358900
10/30/2018,211.15,215.18,209.27,213.3,1.06,36659900
10/29/2018,219.19,219.69,206.09,212.24,-4.06,45935500
10/26/2018,215.9,220.19,212.67,216.3,-3.5,47258300
10/25/2018,217.71,221.38,216.75,219.8,4.71,29855700
10/24/2018,222.6,224.23,214.54,215.09,-7.64,40925100
10/23/2018,215.83,223.25,214.7,222.73,2.08,38767800
10/22/2018,219.79,223.36,218.94,220.65,1.34,28792000
10/19/2018,218.06,221.26,217.43,219.31,3.29,33078700
10/18/2018,217.86,219.74,213,216.02,-5.17,32581300
10/17/2018,222.3,222.64,219.34,221.19,-0.96000000000001,22885300
10/16/2018,218.93,222.99,216.76,222.15,4.79,29183900
10/15/2018,221.16,221.83,217.27,217.36,-4.75,30791000
10/12/2018,220.42,222.88,216.84,222.11,7.66,40337800
10/11/2018,214.52,219.5,212.32,214.45,-1.91,53124300
10/10/2018,225.46,226.35,216.05,216.36,-10.51,41990500
10/09/2018,223.64,227.27,222.25,226.87,3.1,26891000
10/08/2018,222.21,224.8,220.2,223.77,-0.51999999999998,29663900
10/05/2018,227.96,228.41,220.58,224.29,-3.7,33580400
10/04/2018,230.78,232.35,226.73,227.99,-4.08,32042000
10/03/2018,230.05,233.47,229.78,232.07,2.79,28654800
10/02/2018,227.25,230,226.63,229.28,2.02,24788100
10/01/2018,227.95,229.42,226.35,227.26,1.52,23600800
09/28/2018,224.79,225.84,224.02,225.74,0.79000000000002,22929300
09/27/2018,223.82,226.44,223.54,224.95,4.53,30181200
