"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.11.2018","888,75","890,75","894,00","882,50","-","-0,22%"
"28.11.2018","890,75","877,00","894,75","874,00","-","1,57%"
"27.11.2018","877,00","862,50","880,00","858,25","-","1,68%"
"26.11.2018","862,50","881,00","883,00","857,25","-","-2,07%"
"23.11.2018","880,75","884,50","884,50","880,00","-","-0,42%"
"22.11.2018","884,50","884,50","884,50","884,50","-","0,00%"
"21.11.2018","884,50","881,25","889,00","876,00","-","0,37%"
"20.11.2018","881,25","874,00","885,75","870,75","-","0,83%"
"19.11.2018","874,00","891,50","891,50","871,50","-","-2,07%"
"16.11.2018","892,50","889,00","894,75","881,75","-","0,39%"
"15.11.2018","889,00","883,00","897,25","883,00","-","0,68%"
"14.11.2018","883,00","878,25","887,25","878,25","-","0,54%"
"13.11.2018","878,25","881,50","890,75","877,25","-","-0,37%"
"12.11.2018","881,50","886,00","887,00","879,50","-","-0,51%"
"09.11.2018","886,00","879,00","888,50","874,00","-","0,80%"
"08.11.2018","879,00","879,50","884,00","864,50","-","-0,06%"
"07.11.2018","879,50","884,75","888,00","876,75","-","-0,59%"
"06.11.2018","884,75","885,50","889,00","878,50","-","-0,08%"
"05.11.2018","885,50","886,75","892,75","881,75","-","-0,14%"
"04.11.2018","886,75","886,75","886,75","886,75","-","0,00%"
"02.11.2018","886,75","880,50","900,75","878,75","-","0,68%"
"01.11.2018","880,75","849,75","888,50","845,75","-","3,62%"
"31.10.2018","850,00","846,00","855,00","844,75","-","0,44%"
"30.10.2018","846,25","851,75","855,00","846,00","-","-0,65%"
"29.10.2018","851,75","859,75","865,50","850,50","-","-0,90%"
"28.10.2018","859,50","858,50","859,75","858,50","-","1,75%"
"26.10.2018","844,75","841,00","849,25","841,00","-","0,45%"
"25.10.2018","841,00","850,00","850,75","840,00","-","-1,15%"
"24.10.2018","850,75","855,75","856,75","850,00","-","-0,58%"
"23.10.2018","855,75","856,50","862,75","851,25","-","-0,12%"
"22.10.2018","856,75","856,25","862,75","855,75","-","0,06%"
"21.10.2018","856,25","855,75","856,25","855,50","-","0,00%"
"19.10.2018","856,25","865,75","866,25","856,25","-","-1,04%"
"18.10.2018","865,25","882,75","883,75","862,75","-","-1,95%"
"17.10.2018","882,50","883,00","889,75","882,00","-","0,00%"
"16.10.2018","882,50","890,75","891,00","879,25","-","-0,93%"
"15.10.2018","890,75","867,50","892,00","863,50","-","2,68%"
"14.10.2018","867,50","867,00","867,50","867,00","-","0,00%"
"12.10.2018","867,50","859,75","868,00","858,75","-","0,90%"
"11.10.2018","859,75","851,25","863,50","847,00","-","0,91%"
"10.10.2018","852,00","862,50","864,75","847,25","-","-1,22%"
"09.10.2018","862,50","869,50","872,50","859,50","-","-0,78%"
"08.10.2018","869,25","872,25","874,75","862,75","-","-0,32%"
"07.10.2018","872,00","872,25","872,75","871,75","-","0,32%"
"05.10.2018","869,25","859,75","870,25","851,50","-","1,13%"
"04.10.2018","859,50","860,50","868,25","858,50","-","-0,12%"
"03.10.2018","860,50","866,75","870,25","860,50","-","-0,72%"
"02.10.2018","866,75","855,50","867,25","853,00","-","1,32%"
"01.10.2018","855,50","845,50","864,00","843,00","-","1,18%"
