real;dolar
42;24.1
42;24.1
42;24.42
42;24.26
41.5;23.86
42;24.07
42;24.28
40.4;23.27
41;23.46
41;23.3
40;22.66
40;22.57
40;22.64
39.6;22.35
39.33;21.95
39.13;21.74
39.22;21.61
39.4;21.64
39.07;21.28
39;20.98
38.88;20.82
38.8;20.58
38.12;20.51
38.04;20.79
37.78;20.5
37.66;20
37.65;19.92
38.09;20.33
37.77;20.45
37.93;20.51
38.29;20.71
38.42;20.62
38.15;20.9
38.17;20.95
38.34;21.24
38.45;21.25
39.18;21.46
38.97;21.34
38.6;21.08
38.73;21.44
38.27;21.29
38.06;21.36
38.32;21.41
37.54;20.95
37;20.72
36.99;20.69
37.11;20.85
37.25;21.03
36.75;20.77
36.38;20.65
36.16;20.51
36.54;20.72
36.56;20.71
36.97;20.7
37.44;20.79
38;21.11
37.88;21.32
37.53;20.85
37.58;20.77
37.76;20.68
38.36;21.33
38.04;21.19
37.34;20.97
36.31;20.53
36.14;20.51
36.23;20.65
36.53;20.57
36.91;20.76
37.3;21.03
37.3;21.23
37.53;21.36
37.23;21.31
37.26;21.25
37.66;21.4
37.61;21.43
37.7;21.51
38.35;21.75
38.74;22
38.39;22
38.04;21.55
37.95;21.67
37.84;21.85
37.66;21.68
37.67;21.77
37.84;21.49
38.43;21.39
39.1;21.09
38.97;21.08
37.76;21.3
37.62;21.07
37.76;21.27
37.83;21.29
38.14;21.13
38.05;21.02
38.01;20.86
38.63;21.03
39.37;21.15
39.04;20.98
39.01;20.93
39.07;20.91
38.62;20.81
38.58;21.13
38.41;21.23
38.44;21.12
38.03;20.68
38.39;21.02
38.95;20.96
39.07;20.79
39.22;21.1
39.32;21.29
38.72;21.41
38.34;21.11
38.77;21.44
38.8;21.64
38.79;21.67
38.69;21.61
38.57;21.77
38.59;21.76
38.78;21.76
39.36;21.98
39.29;21.96
39.07;21.96
39.13;21.95
39.57;21.86
39.62;21.96
39.55;22.04
39.53;22.26
39.39;22.17
39.55;22.19
39.86;22.57
40.37;22.89
40.57;23.05
40.9;23.17
41.07;23.43
41.17;23.32
41.55;23.45
42.18;23.67
42.44;23.75
42.34;23.87
42.51;23.81
42.65;24.23
42.43;24.12
42.04;23.82
42.01;23.73
42.22;23.86
42.75;24.27
42.97;24.48
43.02;24.57
43;24.45
43.18;24.55
43.44;24.77
43.57;24.75
43.94;25.08
43.83;24.92
43.67;24.67
44;24.86
44.47;25.1
44.41;25.27
44.51;25.38
44.46;25.36
44.41;25.29
43.93;24.98
44.03;24.9
43.49;24.64
43.43;24.59
43.55;24.72
43.84;25.01
44.08;25.04
44.1;25.11
43.69;25.01
43.79;25.28
44.07;25.43
44.14;25.56
44.52;25.82
44.54;25.85
44.32;25.76
43.99;25.65
44.22;25.9
44.71;25.9
44.27;25.83
44.65;25.99
45.26;26.18
45.66;26.63
45.6;26.48
45.47;26.47
45.5;26.59
45.93;26.87
45.69;26.72
45.23;26.53
44.46;26.28
44.06;26.24
43.31;25.61
43.14;25.83
43.46;25.87
43.27;25.66
44.35;26.59
45.04;27.03
45.5;27.54
46.14;27.76
46.18;27.74
45.55;27.38
45.94;27.25
46.33;27.66
46.67;27.53
47;27.55
47.36;27.86
47.82;28.05
47.54;27.64
47.87;27.94
47.9;28.14
47.96;28.1
47.94;28.22
48.11;28.7
48.38;28.81
49.51;29.19
50.75;29.87
50.8;29.72
51;29.7
50.58;29.36
48.56;27.91
48.75;28.24
48.44;28.28
48.52;28.24
49.13;28.43
48.83;28.16
49.2;28.55
49.28;28.63
49.13;28.41
49.39;28.66
49.2;28.69
49.21;28.81
49.48;29.07
49.53;29.39
49.7;29.6
49.2;29.27
49.5;29.24
49.33;28.87
49.09;28.66
49.18;28.98
49.81;29.42
49.55;29.16
49.65;29.17
49.83;29.06
49.4;28.94
49.69;29.28
49.71;29.31
49.81;29.41
49.71;29.43
50.13;29.64
50;29.78
49.88;29.97
49.88;30.23
49.79;29.92
49.71;29.7
50.5;29.93
50;29.69
50.59;29.95
50.55;29.96
51.01;30.44
51;30.56
52;30.84
51.28;30.47
51.38;30.64
50.8;30.38
51.29;30.66
51.5;30.8
51.43;30.76
51.4;30.76
50.25;30.07
50.08;29.83
50.62;30.04
51.31;30.65
51.82;31.14
51.83;31.08
52.25;31.29
51;30.43
52.46;31.22
52.97;31.78
52.86;31.82
53.03;31.74
52.97;31.78
52.64;31.54
51.7;30.96
51.19;30.62
51.42;30.92
51.31;30.84
51.55;30.91
50.01;29.89
48.67;29.06
48.6;29.21
49.61;29.82
49.9;30.01
49.85;29.96
50.62;30.49
50.75;30.72
50.89;30.94
49.81;30.06
49.7;29.92
49.41;29.66
49.2;29.6
49.2;29.51
47.61;28.44
48.71;28.89
50.35;30.15
50.04;30.02
49.81;29.95
49.6;29.86
49.03;29.57
49.15;29.61
49.09;29.54
49.16;29.72
49.16;30.18
49.3;30.23
48.99;30.39
48.4;30.08
48.4;30.08
47.98;29.72
48.5;30.62
47;29.86
47;29.73
46.72;29.33
46.64;29.31
45.68;28.91
45.69;28.95
46.48;29.23
46.48;29.49
46.75;29.76
47.09;29.94
47.05;30.08
47.28;30.09
47.22;29.83
47.23;30.02
47.7;30.27
47.5;29.89
47;29.28
46.31;28.5
47;29.07
47;29.01
47;29.28
46.75;28.86
47.04;28.98
47.08;28.83
47.19;28.92
47.64;29.37
48.12;29.85
48.18;29.8
48.59;30.09
48.63;29.8
48.84;30.07
49.06;30.12
49.04;30.32
48.59;30.35
49;30.76
49;31.01
47.91;30.02
48.55;30.76
48.91;31.03
48.94;30.91
47.88;30.34
48.48;30.63
48.77;30.69
48.2;30.18
48.06;30.26
48.77;30.83
47.85;29.9
47.89;29.74
47.5;29.74
47.5;29.78
47.35;29.8
47.35;29.8
47.35;29.52
47;29.45
47.21;29.92
47;29.9
47;30.09
46.13;29.63
46.13;29.7
47.06;30.07
47.13;30.04
47.16;30.31
47.83;30.58
48.13;30.44
48.6;30.74
48.98;31.1
49.59;31.42
49.62;31.51
49.36;31.26
49.56;31.63
49.63;31.81
48.73;31.34
49.2;31.64
49;31.76
49;31.9
49.75;31.91
49.44;31.51
48.52;31.24
48.07;30.77
48.52;30.95
48.64;31.14
48.25;30.5
48.25;30.42
47.78;29.64
49.24;30.6
48.64;30.08
50.06;30.96
50.02;31.01
48.81;30.7
48.5;30.5
48.68;30.75
48.75;30.43
49;30.64
49.34;30.78
50.1;31.31
50.1;31.12
50.23;31.2
50.75;31.62
51.26;32.2
51.2;32.24
51.63;32.39
51.72;32.13
52.42;32.04
52.42;31.77
51.69;31.08
51.63;31.16
52.74;31.37
52.5;30.61
52.23;30.49
53;30.81
53;31.03
51.5;29.77
52.28;29.47
52.84;29.45
53.82;29.18
53.13;27.86
52.25;28.37
51.14;27.9
50.86;28.12
50.86;27.84
50;27
48.64;25.87
49;25.93
48;25.41
47.22;25.72
47.22;26.42
47.22;26.74
47.22;26.68
47.22;26.86
48.24;27.55
48.88;28.22
48.99;27.77
48.82;27.72
48.41;27.29
49.5;27.61
49.22;27.65
49.22;28.08
48.5;27.49
48.89;27.76
49.2;28.87
49.2;29.29
49.2;29.04
47;27.17
48;27.57
48.17;27.7
48.17;27.51
48.17;27.65
48.17;27.29
47.5;26.97
47.5;27.24
47.5;26.91
48.23;27.22
47.97;26.95
47.12;26.59
47.12;26.09
47.12;26.09
48;25.76
47.6;25.21
47.93;25.43
47.82;25.76
47.82;25.9
47.82;26.43
47.82;26.54
47.82;26.69
47.82;26.74
47.82;26.64
47.82;26.7
47.82;26.33
46.5;25.75
46.5;25.22
46.92;25.31
46.92;25.04
46.92;25.21
47.5;25.59
47.5;25.43
47.5;25.77
47.5;25.59
47.5;25.65
47.5;25.55
47.5;25.55
49.5;26.6
49.5;26.41
49.5;26.48
49.5;26.47
50.75;27.73
50.75;27.75
50.75;27.61
50.75;27.37
50.75;27.61
50.75;28.15
50.75;28.18
50.75;28.43
50.75;28.3
50.75;28.43
50.75;28.56
47.5;26.91
47.85;27.08
47.85;27.2
48.5;27.73
48.73;27.76
48.81;27.73
48.5;27.84
48.22;27.68
48.22;27.57
48.22;27.63
48;27.7
48;27.87
48;27.96
48;27.79
48;27.84
48.62;28.27
48;27.94
48;27.83
48.46;28.24
49.67;28.88
50.18;29.1
50.68;29.45
50.5;29.48
50.5;29.6
50.5;29.51
50.88;29.82
50.17;29.37
50.5;29.67
50.5;29.43
51.5;30.08
52;30.01
52.25;30.1
53;30.11
53;29.99
53.25;30.08
54.26;30.41
54.93;30.43
55.2;30.67
55.75;30.82
55.78;30.92
56.02;31.09
55.55;30.79
55.68;30.57
55.76;30.65
55.76;30.57
55.73;30.79
56.3;31.02
56.25;31.03
56.54;30.93
56.08;30.71
57.8;31.64
58.75;32.05
58.24;31.79
58.29;31.9
58.88;32.25
58.72;32.26
59.17;32.31
59.19;32.28
59.77;32.71
59.98;32.63
59;32.05
59.84;32.28
60.1;32.02
60.82;32.25
60.5;32.3
62;32.96
61.75;32.79
62.68;33.29
62.73;33.28
63.3;33.56
63.19;33.15
62.6;32.58
63.88;33.36
63.88;33.27
63.74;33.18
63.5;32.78
63.29;32.26
63.75;32.74
62.81;32.18
62.8;31.61
63.82;31.91
63.81;31.89
64.33;32.18
65.11;32.23
65.44;32.04
65.05;31.26
64.25;31.45
64.17;31.52
64.17;32.12
64.17;32.38
62.78;31.59
63;31.23
63;31.23
62.78;30.68
63;30.72
63.38;31.37
63.76;31.42
66.35;32.77
67;32.68
67;32.48
67;32.34
67.88;33
66.85;32.75
67.08;32.58
68.17;33.58
68.86;33.84
69.27;33.74
70;33.9
71.88;34.79
71.83;34.64
72.91;35
73;35.05
73;36.32
71.67;36.03
71.67;35.57
71.67;35.55
71.67;35.36
71.67;35.29
71.67;35.29
78.27;38.37
79;38.8
79;38.76
79;38.78
81;39.78
81;39.96
82.6;40.81
82.6;40.97
84.15;41.56
84.15;41.27
84.15;41.13
84.15;41.33
84.03;41.54
84.03;41.52
84.34;41.34
84.34;41.2
84.34;41.28
83.34;40.65
83;40.93
83;40.93
83;40.93
83;41.05
83;41.15
84;41.67
84;41.54
84;41.44
84;41.54
84;41.6
84;41.69
83.63;41.44
83.91;41.6
85.12;42.14
87.71;43.33
89.9;44.42
89.86;44.22
89.85;43.98
90.04;43.94
90.32;44.15
91.21;44.93
91.2;44.88
91.2;44.68
92;45.12
92;45.32
90.5;44.69
90.5;44.82
90.1;44.43
90.02;44.54
90;44.71
90;44.36
90;44.51
90;44.47
90;44.49
90;44.47
79.2;39.09
75.73;37.33
75.73;37.21
75.73;37.29
75.73;37.32
75.73;37.36
75.73;37.36
75.73;37.45
75.73;37.51
75.73;37.31
75.73;37.32
75.73;37.2
75.73;37.12
75.73;37.14
75.73;37.23
75.73;37.2
75.73;37.29
75.73;37.34
75.73;37.34
75.73;37.42
75.73;37.36
75.73;37.36
75.73;37.38
75.73;37.36
75.73;37.25
75.73;37.29
75.73;37.31
75.73;37.27
75.73;37.21
75.73;37.23
75.73;37.21
75.73;37.09
75.73;36.98
75.73;36.91
75.73;36.51
75.73;36.64
75.73;36.41
75.73;36.43
75.73;36.32
75.73;36.17
75.73;36.11
75.73;36.36
75.73;36.37
75.73;36.39
75.73;36.27
75.73;36.1
75.73;35.6
75.73;35.74
75.73;35.77
75.73;36.08
75.73;36.43
75.73;36.29
75.73;36.44
75.73;36.41
75.73;36.51
75.73;36.37
75.73;36.27
75.73;36.13
75.73;36.25
75.73;36.57
75.73;36.73
75.73;36.53
75.73;36.85
75.73;37.05
75.73;37.03
75.73;37.03
75.73;37.2
75.73;37.16
75.73;37.29
75.73;37.12
75.73;37.16
75.73;37.31
75.73;37.2
75.73;37.27
75.73;37.2
75.73;37.05
75.73;37.07
75.73;37.03
75.73;37.09
75.73;37.05
64.63;31.71
63.56;31.29
63.56;31.31
63.56;31.75
63.56;32
64.51;32.42
64.51;32.47
64.7;32.56
63.43;31.82
65;32.73
64.57;32.46
64.57;32.74
64.57;32.74
64.57;32.84
64.57;32.96
64.57;32.83
64.57;32.89
63.18;32.32
64.19;32.69
64.65;32.73
64.5;32.71
63;31.87
62.5;31.5
62.5;31.68
62.5;31.63
62.5;31.53
62.36;31.53
63.03;32.06
63.5;32.25
62.8;32.02
62.5;32.05
62.4;31.87
62.5;31.86
62;31.44
61.81;31.26
60.7;30.61
60.7;30.52
60.7;30.55
60;30.12
60.79;30.29
61.19;30.38
61.5;30.55
61.78;30.63
62;30.88
62;30.66
62;30.69
59.31;29.33
59.12;29.21
59.12;29.34
59.12;29.74
58.76;29.53
58.23;29.34
58.23;29.44
58.5;29.59
59.18;30.04
59.18;29.66
59.25;29.71
59.25;29.63
60.05;29.76
60;29.85
59.8;29.6
59.74;29.53
59.12;29.31
59.25;29.51
59.93;29.98
60.75;30.28
60;29.97
60;29.84
60.75;30.19
59.72;29.64
60.57;30.2
59.6;29.73
